   filname,text
0_bottle_from_above_0.png,grasping location: bottle's body
0_bottle_from_front_0.png,grasping location: bottle's neck
0_bottle_from_right_0.png,grasping location: bottle's body
0_bottle_from_side_0.png,grasping location: bottle's body
0_bowl_from_front_2.png,grasping location: bowl's body
0_bowl_from_side_1.png,grasping location: bowl's edge
0_remote_from_above_0.png,grasping location: remote's body
0_remote_from_above_1.png,grasping location: remote's body
0_remote_from_above_2.png,grasping location: remote's body
0_remote_from_front_1.png,grasping location: remote's body
0_remote_from_side_2.png,grasping location: remote's body
0_tooth brush_from_above_1.png,grasping location: toothbrush's head
0_tooth brush_from_front_1.png,grasping location: toothbrush's body
0_tooth brush_from_front_2.png,grasping location: toothbrush's body
0_tooth brush_from_side_0.png,grasping location: toothbrush's head
0_tooth brush_from_side_1.png,grasping location: toothbrush's neck
0_vase_from_above_1.png,grasping location: vase's body
0_vase_from_front_0.png,grasping location: vase's body
0_vase_from_front_2.png,grasping location: vase's base
0_vase_from_side_2.png,grasping location: vase's neck
0_wine glass_from_above_2.png,grasping location: wine glass's body
0_wine glass_from_front_0.png,grasping location: wine glass's stem
0_wine glass_from_front_2.png,grasping location: wine glass's body
0_wine glass_from_side_1.png,grasping location: wine glass's body
0_wine glass_from_side_2.png,grasping location: wine glass's stem
1_bottle_from_above_0.png,grasping location: bottle's body
1_bottle_from_left_0.png,grasping location: bottle's body
1_bottle_from_right_0.png,grasping location: bottle's body
1_bottle_from_side_0.png,grasping location: bottle's body
1_bottle_from_side_1.png,grasping location: bottle's base
1_bowl_from_above_1.png,grasping location: bowl's edge
1_bowl_from_above_2.png,grasping location: bowl's edge
1_bowl_from_front_2.png,grasping location: bowl's body
1_bowl_from_side_0.png,grasping location: bowl's edge
1_cup_from_side_2.png,grasping location: cup's inner-handle and body
1_remote_from_above_0.png,grasping location: remote's body
1_remote_from_above_1.png,grasping location: remote's body
1_remote_from_above_2.png,grasping location: remote's base
1_remote_from_side_2.png,grasping location: remote's base
1_scissors_from_above_0.png,grasping location: scissors's inner-handle
1_scissors_from_side_0.png,grasping location: scissors's inner-handle
1_tooth brush_from_above_1.png,grasping location: toothbrush's body
1_tooth brush_from_front_2.png,grasping location: toothbrush's head
1_tooth brush_from_side_0.png,grasping location: toothbrush's body
1_tooth brush_from_side_1.png,grasping location: toothbrush's head
1_vase_from_front_0.png,grasping location: vase's base
1_vase_from_front_2.png,grasping location: vase's body
1_wine glass_from_front_2.png,grasping location: wine glass's body
1_wine glass_from_side_1.png,grasping location: wine glass's body
2_bottle_from_above_0.png,grasping location: bottle's edge
2_bottle_from_above_2.png,grasping location: bottle's body
2_bottle_from_front_0.png,grasping location: bottle's neck
2_bottle_from_left_0.png,grasping location: bottle's body
2_bottle_from_right_0.png,grasping location: bottle's base
2_bottle_from_side_1.png,grasping location: bottle's body
2_bowl_from_front_0.png,grasping location: bowl's edge
2_bowl_from_side_0.png,grasping location: bowl's body
2_bowl_from_side_2.png,grasping location: bowl's edge
2_remote_from_above_1.png,grasping location: remote's base
2_remote_from_above_2.png,grasping location: remotes' body
2_remote_from_side_2.png,grasping location: remote's base
2_scissors_from_above_1.png,grasping location: scissors's inner-handle
2_tooth brush_from_front_2.png,grasping location: toothbrush's neck
2_tooth brush_from_side_0.png,grasping location: toothbrush's body
2_vase_from_front_0.png,grasping location: vase's neck
2_vase_from_front_2.png,grasping location: vase's body
2_vase_from_side_2.png,grasping location: vase's base
2_wine glass_from_front_0.png,grasping location: wine glass's stem
2_wine glass_from_side_2.png,grasping location: wine glass's body
3_bottle_from_above_0.png,grasping location: bottle's neck
3_bowl_from_side_0.png,grasping location: bowl's body
3_bowl_from_side_1.png,grasping location: bowl's body
3_remote_from_above_1.png,grasping location: remotes' base
3_remote_from_above_2.png,grasping location: remote's body
3_remote_from_front_1.png,grasping location: remote's body
3_scissors_from_above_0.png,grasping location: scissors's inner-handle
3_tooth brush_from_above_1.png,grasping location: toothbrush's body
3_tooth brush_from_front_1.png,grasping location: toothbrush's head
3_tooth brush_from_front_2.png,grasping location: toothbrush's head
3_tooth brush_from_side_0.png,grasping location: toothbrush's body
3_tooth brush_from_side_1.png,grasping location: toothbrush's neck
3_vase_from_front_0.png,grasping location: vase's body
3_vase_from_front_2.png,grasping location: vase's body
3_vase_from_side_1.png,grasping location: vase's body
3_vase_from_side_2.png,grasping location: vase's neck
11_vase_from_side_2.png,grasping location: vase's neck
11_wine glass_from_front_2.png,grasping location: wine glass's body
12_bottle_from_above_0.png,grasping location: bottle's body
12_bottle_from_left_0.png,grasping location: bottle's base
12_bottle_from_right_0.png,grasping location: bottle's neck
12_bottle_from_side_0.png,grasping location: bottle's body
12_bottle_from_side_1.png,grasping location: bottle's body
12_bowl_from_above_1.png,grasping location: bowl's edge
12_bowl_from_above_2.png,grasping location: bowl's edge
12_bowl_from_front_2.png,grasping location: bowl's base
12_bowl_from_side_0.png,grasping location: bowl's body
12_bowl_from_side_1.png,grasping location: bowl's edge
12_remote_from_above_1.png,grasping location: remote's body
12_remote_from_above_2.png,grasping location: remote's body
12_remote_from_front_1.png,grasping location: remote's body
12_scissors_from_above_0.png,grasping location: scissors's handle
12_scissors_from_above_1.png,grasping location: scissors's inner-handle
12_scissors_from_front_2.png,grasping location: scissors's inner-handle
12_tooth brush_from_front_1.png,grasping location: toothbrush's body
12_vase_from_front_1.png,grasping location: vase's body
12_wine glass_from_side_1.png,grasping location: wine glass's stem
12_wine glass_from_side_2.png,grasping location: wine glass's body
13_bottle_from_above_2.png,grasping location: bottle's body
